country,city,lat,lon
TR,Çankırı,40.6667691,33.4526069
TR,Siirt,37.8646916,42.0510294
TR,Hatay,36.3451332,36.0748022
TR,Mardin,37.3611355,40.8959403
TR,Uşak,38.5768902,29.3729779
TR,Burdur,37.5183407,30.1691254
TR,Düzce,40.8774545,31.2009618
TR,Balıkesir,39.5400798,28.0228793
TR,Manisa,38.8574402,28.0565711
TR,Samsun,41.2303557,35.9683338
TH,Çonburi,13.1857117,101.1210777
TH,Nakhon Ratchasima,14.9749389,102.0981358
TH,Bangkok,13.7524938,100.4935089
TH,Phetchabun,16.3293171,100.9552749
TH,Chiang Mai,18.7882778,98.9858802
TH,Chai Nat,15.1453182,99.9010244
TH,Buri Ram,14.6107101,102.6453162
TH,Chanthaburi,12.9081033,102.0159145
TH,Chachoengsao,13.6093192,101.5467201
TH,Chaiyaphum,16.2720349,101.7153824
IR,Gülistan Eyaleti,37.1984436,55.070672
YE,Aden ili,35.4985288,11.057604
YE,Amanat Al Asimah,15.35,44.2
IR,Mazenderan Eyaleti,36.3159159,51.8968597
TR,Sinop,41.6476377,34.9560137
IR,Kohgiluyeh Va Boyer Ahmad,30.6557188,51.5937519
IR,Erdebil Eyaleti,38.4583983,47.9313001
IR,Gilan Eyaleti,37.1515627,49.6389743
IR,Zencan,36.515854,48.4777616
TR,Kütahya,39.2522508,29.4937732
TR,Niğde,38.0664691,34.7051438
TR,Adana,36.9863599,35.3252861
IR,Batı Azerbaycan,37.7416484,45.0207638
IR,Güney Horasan,33.129577,58.1065069
IR,Merkezi Eyaleti,34.5302705,49.7864561
YE,İb ili,13.88549,43.883192
YE,Raymah,14.6875552,43.6648264
IR,Loristan,,
YE,Abyan ili,,
YE,Hadramut ili,,
YE,Taiz ili,,
YE,San'a ili,,
YE,Saada ili,,
YE,Ma'rib ili,,
IQ,Kadisiye,31.9599617,45.1197814
IQ,Babil,32.6319335,44.5629362
IQ,Vasit,32.6944827,45.6848009
IQ,Kerkük,35.4719308,44.3953896
IQ,Salahaddin,36.1479478,44.0297036
IQ,Süleymaniye,35.5570501,45.4425963
IQ,Diyala,34.0228719,45.1046224
IQ,Kerbela,32.5984057,44.0157931
IQ,Ninova,36.3564339,43.1621647
MY,Negeri Sembilan,2.7831895,102.1925319
MY,Kelantan,5.4021302,102.0635972
MY,Penang,5.4065013,100.2559077
MY,Perak,4.812181,100.9797908
MY,Sabah,5.4257359,117.0326392
MY,Selangor,3.2083304,101.304146
MY,Pahang,3.6168822,102.5994547
MY,Malakka,2.3293744,102.2880962
MY,Johore,2.0228821,103.3114564
MY,Federal Territory of Kuala Lumpur,3.1526589,101.7022205
TR,Bilecik,40.1543234,30.1479907
KW,Al Farwaniyah Governorate,29.2482539,47.9136755
PK,Pencap,31.0,72.0
NZ,Waikato,-37.7792272,175.2010324
NZ,Manawatu-Wanganui,-39.6407734,175.5713557
PK,Sindh,25.5,69.0
PK,Islamabad Capital Territory,33.6357394,73.2031156
PK,Khyber Pakhtunkhwa,33.712802,71.2678805
